This file was created by CMPT_EP_CFP_OP_INV_NI_AC_RETS using the 202302 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on OP.

The portfolios are constructed at the end of June.  OP, operating profitability, is
operating profits (sales minus cost of goods sold, minus selling, general, and,
administrative expenses, minus interest expense) divided by book equity 
at the last fiscal year end of the prior calendar year.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

Please be aware that some of the value-weight averages of operating profitability for
deciles 1 and 10 are extreme. These are driven by extraordinary values of OP for
individual firms. We have spot checked the accounting data that produce the
extraordinary values and all the numbers we examined accurately reflect the
data in the firm's accounting statements.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Returns -- Monthly
,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196307,   -0.84,    0.44,    0.00,   -0.65,    1.10,   -0.12,   -0.99,    0.53,   -1.44,   -0.19,   -1.02,    2.19,   -0.84,    0.92,   -0.72,   -1.15,   -0.31,    0.98
196308,    5.44,    4.90,    5.81,    4.84,    4.36,    5.41,    5.44,    6.01,    5.53,    4.45,    6.00,    3.55,    5.62,    5.11,    5.57,    5.36,    5.90,    6.07
196309,   -1.63,   -0.85,   -1.44,   -2.15,   -2.11,    0.53,   -1.78,   -1.48,   -3.02,   -1.65,   -1.15,   -2.59,    2.21,   -1.88,   -2.48,   -1.34,   -2.48,   -0.97
196310,    0.90,    1.48,    5.86,    0.82,    0.30,    2.38,    2.65,    6.86,    0.77,    0.85,    0.97,   -0.05,    3.41,    0.84,    0.98,    3.67,    2.92,    8.88
196311,   -1.44,    0.27,   -1.35,   -1.04,   -1.03,    0.99,    0.39,   -2.41,    0.18,   -1.74,   -1.81,   -0.63,    2.05,   -0.63,   -0.74,    1.06,    0.30,   -3.73
196312,    2.14,    2.38,    2.01,    0.70,    4.02,    1.38,    2.58,    1.77,    1.86,    0.03,    3.47,    4.30,    0.14,    3.34,    2.68,    2.53,    2.60,    1.35
196401,    2.27,    2.88,    2.67,    2.43,    4.13,    2.34,    1.58,    2.94,    1.90,    2.75,    2.13,    5.16,    3.31,    0.87,    0.73,    2.08,    2.21,    3.31
196402,    2.20,    1.36,    2.10,    2.13,    1.77,    1.23,    1.55,    2.35,    3.63,    1.26,    2.27,    1.52,    0.91,    1.74,    1.53,    1.56,    2.12,    2.47
196403,    3.49,    1.18,    1.80,    2.90,    2.84,    0.33,    1.57,    2.08,    2.65,    3.05,    4.03,    2.24,    0.07,    0.74,    2.27,    1.17,    2.16,    2.04
196404,    1.79,    1.02,   -0.41,    2.81,    2.04,    0.25,   -1.14,    0.42,    0.09,    4.43,    0.88,    2.63,    0.85,   -0.68,    0.79,   -2.27,   -0.56,    0.92
196405,    1.84,    1.17,    1.95,    0.71,    2.26,    0.73,    0.53,    2.77,    2.27,   -0.19,    2.87,    1.96,    0.88,    0.48,    1.28,    0.09,    1.53,    3.39
196406,    1.76,    2.53,    0.60,    1.78,    0.92,    3.84,    0.67,    0.84,    2.86,    1.14,    1.74,    0.50,    4.56,    2.72,    1.73,    0.02,    1.35,    0.59
196407,    1.88,    1.62,    2.48,    1.83,    2.15,    0.68,    3.16,    2.33,    0.67,    2.35,    1.94,    2.24,   -0.67,    3.53,    3.45,    2.95,    2.61,    2.13
196408,   -1.09,   -1.10,   -1.18,   -1.34,   -1.59,   -0.64,   -0.97,   -1.26,   -2.48,   -0.84,   -0.82,   -1.92,   -0.91,   -0.09,   -1.04,   -0.93,   -1.54,   -1.06
196409,    4.33,    2.22,    3.32,    4.05,    3.71,    1.37,    3.55,    3.09,    4.90,    3.68,    4.63,    3.31,    0.62,    2.86,    2.87,    4.04,    4.07,    2.42
196410,    1.91,    1.22,    0.15,    2.79,    2.15,    0.05,    1.80,   -0.31,    0.84,    3.65,    0.99,    2.65,    0.08,   -0.01,    2.18,    1.54,    0.12,   -0.61
196411,    0.42,    0.36,    0.48,   -0.05,    1.06,   -0.51,    1.07,    0.40,   -3.65,    1.50,    0.91,    1.12,   -0.98,    0.40,    1.58,    0.70,    2.40,   -0.97
196412,   -0.72,    0.48,    0.90,   -0.84,   -1.19,    1.75,    0.38,    1.05,   -1.03,   -0.76,   -0.60,   -1.44,    2.30,    0.69,    0.26,    0.47,    1.27,    0.89
196501,    4.48,    1.84,    5.40,    5.11,    0.97,    2.01,    4.94,    5.60,    7.60,    4.10,    3.82,   -0.26,    1.06,    3.89,    5.09,    4.82,    4.83,    6.15
196502,    1.16,    0.16,    1.01,    2.48,   -1.81,    1.30,    1.27,    0.97,    1.37,    2.95,   -0.24,   -2.52,    1.18,    1.53,    1.46,    1.14,    0.17,    1.54
196503,   -0.74,   -1.29,   -1.20,   -1.43,   -1.84,   -0.98,   -0.40,   -1.34,   -1.05,   -1.59,    0.02,   -2.69,   -1.34,   -0.30,    0.14,   -0.79,   -2.30,   -0.67
196504,    3.26,    2.81,    4.28,    4.00,    1.82,    3.56,    3.19,    4.54,    4.15,    3.93,    2.47,    1.51,    4.53,    1.71,    2.74,    3.51,    3.18,    5.48
196505,    0.56,    0.14,   -0.75,   -0.63,    0.53,    0.55,   -1.14,   -0.51,   -4.36,    0.93,    1.86,   -0.10,    1.07,   -0.48,   -0.66,   -1.49,    0.61,   -1.26
196506,   -6.22,   -4.01,   -5.39,   -7.44,   -3.25,   -4.52,   -5.12,   -5.45,   -7.96,   -7.23,   -4.91,   -2.44,   -4.36,   -4.84,   -5.00,   -5.21,   -4.68,   -5.99
196507,    3.57,    0.89,    1.67,    4.82,    0.70,    1.68,    0.76,    2.04,    4.44,    4.99,    2.62,   -0.33,    0.79,    2.58,    1.26,    0.21,    1.77,    2.18
196508,    2.03,    2.06,    4.31,    1.81,    2.25,    1.68,    2.48,    4.79,    4.05,    0.84,    2.19,    2.29,    0.73,    2.64,    2.59,    2.36,    6.80,    3.77
196509,    4.13,    2.52,    3.92,    4.08,    1.93,    3.79,    2.99,    4.10,    3.49,    4.35,    4.17,    0.68,    3.46,    4.10,    2.82,    3.19,    3.84,    4.24
196510,    2.74,    1.30,    4.61,    3.52,    0.76,    1.77,    2.72,    5.01,    4.13,    3.24,    2.13,   -0.02,    2.40,    1.17,    2.53,    2.94,    6.39,    4.29
196511,    1.32,   -0.82,    0.70,    2.36,   -1.25,   -0.35,    1.06,    0.50,    3.22,    1.98,    0.51,   -2.28,    0.13,   -0.82,    0.61,    1.56,    1.90,   -0.25
196512,    2.12,    1.22,    0.65,    2.98,    0.77,    1.73,    1.06,    0.65,    7.71,    0.83,    1.43,    0.37,    2.38,    1.09,    1.45,    0.63,    1.97,   -0.06
196601,    3.79,   -0.74,    1.27,    4.55,    0.13,   -0.41,    0.40,    1.40,    7.27,    3.22,    3.17,   -1.71,    0.59,   -1.41,    0.12,    0.72,    2.18,    0.97
196602,   -1.13,   -1.75,   -0.32,   -0.31,   -0.63,   -2.96,   -1.42,   -0.21,    4.60,   -2.80,   -1.80,    0.12,   -2.07,   -3.87,   -1.97,   -0.80,    0.09,   -0.38
196603,   -3.17,   -2.57,   -1.01,   -3.46,   -3.44,   -1.83,   -1.65,   -1.03,   -4.27,   -3.02,   -2.92,   -3.77,   -2.50,   -1.13,   -2.32,   -0.92,    0.03,   -1.62
196604,    2.36,    2.30,    2.40,    2.15,    1.81,    3.19,    2.61,    2.13,    2.23,    2.10,    2.54,    1.35,    2.75,    3.64,    1.74,    3.56,    4.20,    0.95
196605,   -6.79,   -4.46,   -4.92,   -7.63,   -4.84,   -5.22,   -4.79,   -4.58,  -10.44,   -6.12,   -6.09,   -4.04,   -5.64,   -4.78,   -3.31,   -6.37,   -5.06,   -4.30
196606,   -1.14,   -0.69,   -1.57,   -0.54,   -0.83,   -0.78,   -1.55,   -1.45,    0.99,   -1.32,   -1.63,   -0.33,   -2.36,    0.81,   -1.08,   -2.06,   -1.02,   -1.70
196607,   -1.11,   -1.16,   -1.34,   -1.49,   -1.23,   -0.62,   -0.76,   -1.63,   -2.41,   -0.99,   -0.94,   -1.66,   -0.57,   -0.66,   -1.59,   -0.13,   -2.27,   -1.34
196608,   -6.84,   -6.76,   -8.16,   -8.68,   -6.01,   -7.44,   -7.25,   -8.25,  -11.19,   -7.32,   -6.05,   -5.95,   -8.77,   -6.10,   -6.52,   -7.79,   -8.61,   -8.09
196609,    0.97,   -0.36,   -1.60,   -1.23,    0.42,    1.60,   -1.98,   -1.63,   -1.94,   -0.86,    1.90,   -1.79,    1.62,    1.57,   -2.60,   -1.52,   -1.43,   -1.72
196610,    7.48,    5.60,    1.98,    2.80,    8.12,    6.47,    2.65,    1.78,    0.15,    4.18,    9.38,    6.13,    7.28,    5.68,    2.47,    2.79,    2.76,    1.33
196611,   -0.29,   -0.62,    4.70,    2.84,   -1.61,   -0.69,    2.11,    5.29,    7.52,    0.52,   -1.49,   -1.81,   -0.59,   -0.79,    1.76,    2.37,    5.18,    5.34
196612,    0.79,    0.59,   -0.02,    1.22,    0.08,    1.31,    1.67,   -0.52,    0.77,    1.46,    0.62,   -0.79,    2.50,    0.13,    1.17,    2.04,   -0.79,   -0.40
196701,    7.94,    7.28,    8.88,   11.45,    6.80,    7.10,    7.92,    9.10,   15.32,    9.39,    6.53,    7.25,    6.75,    7.46,    7.79,    8.01,    8.45,    9.39
196702,    0.13,   -0.31,    2.47,    0.87,   -0.55,    0.08,    1.33,    2.54,    1.63,    0.44,   -0.19,   -1.15,    0.48,   -0.33,    0.14,    2.19,    1.36,    3.07
196703,    3.81,    3.99,    4.98,    4.74,    3.58,    3.94,    4.15,    5.22,    4.83,    4.69,    3.41,    3.86,    4.57,    3.30,    4.37,    4.00,    5.06,    5.29
196704,    2.00,    3.33,    6.45,    3.18,    2.40,    2.70,    3.94,    7.06,    4.21,    2.60,    1.49,    3.90,    3.01,    2.38,    3.96,    3.93,    6.06,    7.51
196705,   -3.70,   -3.41,   -5.17,   -2.18,   -4.13,   -2.77,   -4.85,   -5.18,   -1.47,   -2.60,   -4.37,   -3.76,   -2.62,   -2.93,   -4.44,   -5.13,   -5.40,   -5.09
